,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
4307,2020-02-14,Argentina,0,0,0,0,0,0,0,Americas
4336,2020-02-14,Chile,0,0,0,0,0,0,0,Americas
4352,2020-02-14,Ecuador,0,0,0,0,0,0,0,Americas
4412,2020-02-14,Mexico,0,0,0,0,0,0,0,Americas
4458,2020-02-14,Spain,2,0,0,2,0,0,0,Europe
4494,2020-02-15,Argentina,0,0,0,0,0,0,0,Americas
4523,2020-02-15,Chile,0,0,0,0,0,0,0,Americas
4539,2020-02-15,Ecuador,0,0,0,0,0,0,0,Americas
4599,2020-02-15,Mexico,0,0,0,0,0,0,0,Americas
4645,2020-02-15,Spain,2,0,2,0,0,0,2,Europe
4681,2020-02-16,Argentina,0,0,0,0,0,0,0,Americas
4710,2020-02-16,Chile,0,0,0,0,0,0,0,Americas
4726,2020-02-16,Ecuador,0,0,0,0,0,0,0,Americas
4786,2020-02-16,Mexico,0,0,0,0,0,0,0,Americas
4832,2020-02-16,Spain,2,0,2,0,0,0,0,Europe
4868,2020-02-17,Argentina,0,0,0,0,0,0,0,Americas
4897,2020-02-17,Chile,0,0,0,0,0,0,0,Americas
4913,2020-02-17,Ecuador,0,0,0,0,0,0,0,Americas
4973,2020-02-17,Mexico,0,0,0,0,0,0,0,Americas
5019,2020-02-17,Spain,2,0,2,0,0,0,0,Europe
5055,2020-02-18,Argentina,0,0,0,0,0,0,0,Americas
5084,2020-02-18,Chile,0,0,0,0,0,0,0,Americas
5100,2020-02-18,Ecuador,0,0,0,0,0,0,0,Americas
5160,2020-02-18,Mexico,0,0,0,0,0,0,0,Americas
5206,2020-02-18,Spain,2,0,2,0,0,0,0,Europe
5242,2020-02-19,Argentina,0,0,0,0,0,0,0,Americas
5271,2020-02-19,Chile,0,0,0,0,0,0,0,Americas
5287,2020-02-19,Ecuador,0,0,0,0,0,0,0,Americas
5347,2020-02-19,Mexico,0,0,0,0,0,0,0,Americas
5393,2020-02-19,Spain,2,0,2,0,0,0,0,Europe
5429,2020-02-20,Argentina,0,0,0,0,0,0,0,Americas
5458,2020-02-20,Chile,0,0,0,0,0,0,0,Americas
5474,2020-02-20,Ecuador,0,0,0,0,0,0,0,Americas
5534,2020-02-20,Mexico,0,0,0,0,0,0,0,Americas
5580,2020-02-20,Spain,2,0,2,0,0,0,0,Europe
5616,2020-02-21,Argentina,0,0,0,0,0,0,0,Americas
5645,2020-02-21,Chile,0,0,0,0,0,0,0,Americas
5661,2020-02-21,Ecuador,0,0,0,0,0,0,0,Americas
5721,2020-02-21,Mexico,0,0,0,0,0,0,0,Americas
5767,2020-02-21,Spain,2,0,2,0,0,0,0,Europe
5803,2020-02-22,Argentina,0,0,0,0,0,0,0,Americas
5832,2020-02-22,Chile,0,0,0,0,0,0,0,Americas
5848,2020-02-22,Ecuador,0,0,0,0,0,0,0,Americas
